N,P,K,temperature,humidity,rainfall,ph,crop
90,42,43,20.8,82,202,6.5,rice
85,58,41,21.7,80,226,7.0,rice
60,55,44,26.0,70,150,6.8,wheat
45,60,38,24.5,65,120,6.2,maize
30,40,50,28.0,60,100,5.5,grapes
50,30,30,27.0,65,90,6.0,mango
40,35,25,29.0,55,80,6.2,banana
70,60,50,22.0,75,180,6.5,sugarcane
65,50,45,24.0,68,140,6.7,cotton
55,45,35,26.0,60,110,6.3,soybean
60,40,40,25.0,65,130,6.5,groundnut
50,35,30,27.0,58,95,6.1,millet
45,30,25,28.0,55,85,6.0,pulses
80,50,40,23.0,78,190,6.6,barley
75,48,42,22.5,76,185,6.5,oats
